Mixture,B cell,Dendritic cell,Macrophage,Monocyte,Neutrophil,Basophil,NK cell,T cell,P-value,Correlation,RMSE,Absolute score (sig.score)
Muscle_nonimmune_tpm,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
1,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
2,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
3,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
4,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
5,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
6,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
7,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
8,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
9,1.33001244709505,1.33574671992799,0,0,3.70419003622579,0,0,1.41599393236755,0,0.56881295654393,0.832112432055288,7.78594313561638
