Mixture,B cell,Dendritic cell,Macrophage,T cell,Basophil,Monocyte,Neutrophil,NK cell,P-value,Correlation,RMSE,Absolute score (sig.score)
Small_intestine_nonimmune_tpm,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
1,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
2,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
3,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
4,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
5,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
6,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
7,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
8,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
9,67.4295554092959,12.1447328476002,10.4843047585103,87.0876524510935,45.1565240762359,0,0,6.81630799066584,0,0.474718652793371,0.913207789951982,229.119077533402
