Mixture,B cell,Dendritic cell,Macrophage,Monocyte,Neutrophil,Basophil,NK cell,T cell,P-value,Correlation,RMSE
Dendritic cell,0.00257432334458798,0.99375375876484,0.00200561553114345,0,0,0,0.00166630235942806,0,0,0.489785506204335,1.05754892673468
T cell,0,0.216533838934322,0.00587658053190268,0,0,0.313460639710009,0.435985208217044,0.0281437326067226,0,0.4016250149248,0.96103373417021
Neutrophil,0.0559478205881019,0.199121431552408,0,0,0.717231780365129,0,0.0276989674943608,0,0,0.492874540813285,0.960961301793444
B cell,0.75001763951054,0.0962481554457463,0,0.0444491594757473,0.0918271880866329,0,0.0174578574813332,0,0,0.496367411433575,0.919309529399951
Macrophage,0.00656528144817547,0.327222662952056,0.172905294222643,0.22864694025691,0.251482948555021,0,0,0.0131768725651942,0,0.558598761826376,0.864315666159574
1,0.00257432334458798,0.99375375876484,0.00200561553114345,0,0,0,0.00166630235942806,0,0,0.489785506204335,1.05754892673468
2,0.00257432334458798,0.99375375876484,0.00200561553114345,0,0,0,0.00166630235942806,0,0,0.489785506204335,1.05754892673468
3,0.00257432334458798,0.99375375876484,0.00200561553114345,0,0,0,0.00166630235942806,0,0,0.489785506204335,1.05754892673468
4,0.00257432334458798,0.99375375876484,0.00200561553114345,0,0,0,0.00166630235942806,0,0,0.489785506204335,1.05754892673468
5,0.00257432334458798,0.99375375876484,0.00200561553114345,0,0,0,0.00166630235942806,0,0,0.489785506204335,1.05754892673468
