Mixture,B cell,Dendritic cell,Macrophage,Monocyte,Neutrophil,NK cell,T cell,Basophil,P-value,Correlation,RMSE
Macrophage,0.0931988158360618,0.0195087927694131,0.528773715561339,0,0.161687626389366,0.131638965636528,0.0428471860043894,0.0223448978029019,0,0.520664234754942,0.900314199707967
Marginal zone B cell,0.693229364790036,0,0,0.067634866409439,0.179810468760584,0.0593253000399405,0,0,0,0.499792340253857,0.917519362949569
Monocyte,0,0,0.250649820898846,0.352985099734747,0.135390467662363,0.0893941624033926,0,0.171580449300651,0,0.564833195656305,0.852105008340715
Neutrophil,0,0.0494868192698274,0.0281547416121292,0.118877968577611,0.234966739936678,0.100007038963707,0,0.468506691640046,0,0.472304057765712,0.936237815585988
NK cell,0,0.0317718395801117,0,0,0.233962145208714,0.734266015211174,0,0,0,0.408512453430397,1.05843735795587
T cell,0.000726770696508606,0.00020251556012279,0,0.0385028225327645,0.235280200937197,0.176604585544036,0.548683104729371,0,0,0.623340438497544,0.805286007861563
Dendritic cell,0.039988619120308,0.453142765047767,0,0.0674943343004325,0.239510069222689,0.199864212308804,0,0,0,0.58586669383288,0.838290136115093
1,0.0931988158360618,0.0195087927694131,0.528773715561339,0,0.161687626389366,0.131638965636528,0.0428471860043894,0.0223448978029019,0,0.520664234754942,0.900314199707967
2,0.0931988158360618,0.0195087927694131,0.528773715561339,0,0.161687626389366,0.131638965636528,0.0428471860043894,0.0223448978029019,0,0.520664234754942,0.900314199707967
3,0.0931988158360618,0.0195087927694131,0.528773715561339,0,0.161687626389366,0.131638965636528,0.0428471860043894,0.0223448978029019,0,0.520664234754942,0.900314199707967
