Mixture,B cell,Dendritic cell,Macrophage,T cell,Basophil,Monocyte,Neutrophil,NK cell,P-value,Correlation,RMSE
B cell,0.798719099941976,0,0.00443950385834798,0,0.100642291815661,0.0396025135933552,0,0.0565965907906597,0,0.446550503714874,0.946126259994228
Macrophage,0.180022894901366,0.120802622710966,0.476766539417298,0,0.149120414752626,0,0,0.0732875282177439,0,0.395735475458604,0.96255868565818
T cell,0.126743542736637,0.123058648643753,0,0.453561778643688,0.183686848916149,0,0.0376742872456528,0.0752748938141205,0,0.555428929277097,0.859939406356488
Denditric cell,0.0949514729923814,0.499693573442818,0.0611388424194473,0,0,0.28614312577347,0,0.0580729853718835,0,0.507062834377583,0.891540211229694
1,0.798719099941976,0,0.00443950385834798,0,0.100642291815661,0.0396025135933552,0,0.0565965907906597,0,0.446550503714874,0.946126259994228
2,0.798719099941976,0,0.00443950385834798,0,0.100642291815661,0.0396025135933552,0,0.0565965907906597,0,0.446550503714874,0.946126259994228
3,0.798719099941976,0,0.00443950385834798,0,0.100642291815661,0.0396025135933552,0,0.0565965907906597,0,0.446550503714874,0.946126259994228
4,0.798719099941976,0,0.00443950385834798,0,0.100642291815661,0.0396025135933552,0,0.0565965907906597,0,0.446550503714874,0.946126259994228
5,0.798719099941976,0,0.00443950385834798,0,0.100642291815661,0.0396025135933552,0,0.0565965907906597,0,0.446550503714874,0.946126259994228
